start	end	text
34844	39302	That's a mess over there.
39282	44972	It's not as bad as it was when I went looking the other weekend.
44952	50136	It's funny how when you get old, your hair doesn't cover everything anymore.
51652	54675	I'll lean forward to that.
54655	60598	My Facebook page is getting filled up with hair restoration.
60578	64530	ads now.
65894	69745	I'm not gonna put lotion in my head.
69725	71665	Or maybe you should, I don't know.
71806	72816	I gotta look it up.
73741	78570	I either gotta just shave it off and then, you know, throw some...
78550	80524	I don't know.
81148	82840	There are all kinds of them out there.
82820	84799	They all claim to be wonder drugs.
85648	86940	Biotin.
87562	93201	All these different health food type things they throw in their...
93873	99040	Spartan's the one that keeps bombing me.
99425	103630	Spartan hair restoration for men.
103610	108523	It's supposed to be the end-all be-all of hair restoration.
108503	112641	I keep getting Spartan ads for racing.
113701	114768	Oh really?
114990	117467	I wonder if it's a different thing though.
119607	125618	They have SPART exercise equipment and stuff, but I don't know if they do the shampoo.
125598	126390	Yeah.
126471	128217	Yeah.
129631	135642	I also get ads for the Spartan races, weirdly enough.
135622	140890	so you know
142473	147336	Some of that's from softball, too, apparently.
148767	154761	So probably made an all-star team, so my softball season has not ended.
154994	156988	It was supposed to be over a month ago.
158639	160754	All-star team has what?
161540	161983	First?
162003	162527	Second?
162547	162870	First?
163131	163816	Third?
163836	164481	Fifth?
164900	169003	This is our first one just because we never do it.
168983	170313	Not only at what grade.
170656	171946	How old?
172067	173357	Should we go down to fourth?
173337	175353	Yeah, that's exactly what I said.
176421	178538	Oh, my number I did not say.
181471	184208	Yeah, and we're going, so I won't be here Friday.
184892	187347	We've got a softball tournament in Paris.
187327	190553	Tennessee, yeah.
194262	198805	I will not be doing the Branson trip either, so I'll be here.
201974	207782	It's like Paris, Texas, Paris, Tennessee, Paris, everywhere.
210260	211394	Um...
214799	216109	Ethan's out all week.
217298	220219	Conrad is here, but at home.
220756	224910	Andrew is the same.
224890	230563	Jacob, same.
231472	235727	I know Ethan's got a release for...
236770	240790	The Lincoln...
240770	244806	And we're going to try and push up another test file forward.
245410	250206	Conrad, we did several things while you were gone.
251047	254863	I was trying to get caught up on that.
254843	260067	Sounds like we'll have the small cabinet order release for a year short goal.
260349	260449	Yeah.
262994	268262	Yeah, they sent in another small report request I guess this morning.
269423	274219	But I guess the main thing...
274199	280108	was we had some more fields in customer service.
281253	287095	just for stuff or header options that Eclipse didn't have anywhere that they could look at.
287075	290605	and then we're getting them cut off from
291479	293237	in that special instruction field.
295816	299649	So they added like six fields, I think, in customer service.
300133	301000	That hit the trash can.
302009	304760	That's what I was trying to figure out.
304780	305488	Yeah, the dripping.
307730	309848	I believe the dripping is hitting the trash can.
310050	312188	I don't know if it's going in the trash can.
313484	314383	Heh heh.
320386	320896	So.
328705	334513	Just wait until the people on the third floor start complaining about their ceiling tiles going in.
334493	339323	It sounded like he was hitting something flat.
341682	344993	Uh, so...
346525	351928	Yeah, they were able to put the fields in the main
351908	357919	I guess in customer service, but they're, I guess wanted to add those to the reports also.
357899	360332	I don't know if that ever made a ticket or not.
361240	364821	I saw the only customer service
364801	368501	Unless I missed it, the only customer service ticket I saw was like a rounding issue.
369446	369546	Okay.
370403	372173	I might have missed it though.
372978	374124	I don't think they did throw one in.
374507	375975	That one kind of came in.
375955	379182	It came in as another issue from
379820	384683	Jason and one of the shop guys.
385237	387990	Just asking for more feels.
389607	394453	They got that one done, but we'll probably want to put another one in for the reports.
395547	396115	Okay.
396216	397615	But is it already on?
397756	398790	Did they run a script?
398770	401602	Yeah, it was just a sequel thing that Blake ran.
402827	404595	So that's already out.
404930	407824	The new fields are, yes.
408226	409432	The reports still have to be done.
410638	410738	Okay.
415983	419867	It seems like I remember something for customer service related to that.
420910	423698	Could be wrong.
425095	427089	It could be in Blake's corner.
427109	428357	He doesn't see.
428377	430008	I don't know.
430028	430431	What did you say?
431575	436793	i could see the one i was looking for the signs of life too so okay um
437431	440432	There's another one that had something to do with like a rounding issue.
440935	442949	That was new in customer service.
442969	443070	Okay.
446442	452031	yeah those are the biggies that came last week
452011	455035	So we'll let you get caught up.
455453	461076	Was there anything on your side as far as those fields go that we needed to worry about?
462035	464248	You're able to get everything you need?
464651	466341	Or you're already getting it?
467738	473074	Yeah, those Power BI reports, those are the ones you were talking about with the added fields, right?
473408	473974	Yeah.
474176	476500	Because I know I passed one like that over to you.
477678	482052	Well, there's another Power BI issue that had to do with Duke's Kid.
482892	484938	Oh, right.
484958	485950	Good idea of these.
487533	489162	Yeah, that was a weird morning.
489887	493105	There were several issues that came up and they were all different.
493085	497003	Yeah, the one that I sent to Greg
496983	500715	where the Power BI and the columns initially went to again.
501404	504867	And then Tuyen says she didn't have access to change the report.
504847	509220	And it turns out Greg was working on something similar anyway.
509757	510301	He took it.
510322	514435	So yeah, that one played ping pong a minute.
515242	518232	But it was like...
519410	522197	Five minutes, it was figured out.
527932	533841	I think I sent you a text.
533821	535107	Um...
536285	540844	Those reports that went to RSI, the load reports.
540824	542671	Yeah.
542975	543645	Yeah.
544250	546843	I think it went out just fine.
546863	549597	They just didn't see it yet or it went to their junk.
549617	550260	I don't know.
550240	553184	Yeah, that would make sense.
553204	554192	Ken never
554172	557884	replied after I said that it looked like it went.
557924	559356	We looked through SendGrid.
559336	564807	Everything looked good there, looked like it had been delivered, just not opened.
564787	568890	So I think that one's a non-issue.
568870	570629	at this point.
570811	572873	I went in and found that
573393	578037	It's on the email and the messaging server or the messaging database and got the file.
578017	581378	to send it in manually if we needed to.
581358	584989	And I sent it to him, but I don't know if he actually had to use it or not.
585644	587841	So no, we didn't have to do anything.
591331	594505	That makes sense because it hasn't failed in a long time.
594525	595435	Right, that's what I said.
595415	597265	Sounds like we haven't looked at this in a long time.
598210	600784	I don't think we can get to those files
