start	end	text
14527	15273	He's saying...
15877	20824	We were the home team, so if they would score, we'd have to score and come back.
20804	26798	And I was like in my mind, I'm like, I really don't want to keep playing.
26778	31017	And they kept tying it up.
30997	34595	We'd come back and tie it up and play another inning.
34615	36906	I thought you were going to have to go to the bullpen.
36886	38095	Yeah.
38115	39646	Will you guys please allude?
39666	41600	Yeah.
41620	42829	Throw the fingers.
42809	48567	You're throwing to your own team, so.
49812	54186	so that I actually did strike out the last girl.
54166	60177	I was like, okay.
60157	66167	Which the other team had scored like four runs at the top of the inning, so it was going to be hard for us to catch anyway.
66147	71145	But yeah, it was a long, long day.
73707	74030	Hello.
76796	76917	Hello.
76938	77220	Hello.
77960	79768	I think this is it for today.
81183	87193	this evening back Wednesday Greg's out and CK is
87173	90889	at that, at the moment.
92371	93758	Doesn't go to a normal doctor?
94884	97538	No, it's cheaper.
97518	100416	He has a cat named Kat.
100476	102448	A cat named Kat.
102428	105752	Every time I go, it's so expensive.
105772	106820	The doctor or the vet?
106901	107646	The vet.
107626	109436	Maybe he has vet insurance.
110642	113417	I do need to make Mabel an appointment.
113397	115890	Maybe this week sometime.
115910	119408	I do need to make Mabel an appointment for this week sometime.
119388	123222	Yeah, what do you do with her when you leave?
123556	129415	Like once a week we'll take her to daycare and that seems to pretty well wipe her out.
129395	131124	for the rest of the week.
131144	131767	That's nice.
132129	134119	Other than that, she just stays in her saloon.
134139	134983	Gotcha.
136904	138386	Does it have a dog door on it?
138873	139928	No.
139908	142637	usually sleeps long enough that she doesn't go to the bathroom.
143162	143910	Really?
143890	145620	and the dog likes to sleep.
145640	146123	That's crazy.
146646	146907	Yeah.
147611	148838	My friends, like,
148818	152374	I have a basset, too, and I feel like the thing's always peeing.
152535	154423	They have to leave all the time.
154403	156074	I gotta go let the dog out.
156276	159840	A lot of times it's gonna work like in the morning
159820	164080	go home with lunch and take her out.
164100	165426	I think it was
166722	170413	whatever day that was, I worked from home last week.
170433	170877	It was like,
171633	174201	2.15 before she actually got out of bed.
175075	179196	She never got up in the morning to go to the bathroom.
179176	185187	Like we went to bed like 9 or 10 o'clock the night before she slept until 2.15
185167	189591	I'm sure that he doesn't want to go out there either.
189571	195430	she kind of likes she'll like go sit out in the backyard and just like bask in the sun for like 15 minutes
195410	201218	and then come back in all hot and go back to sleep.
201738	204031	You gotta park cat fast and hound.
204172	207411	It gives them a different meaning to the term, it's a dog's life.
207391	208558	Yeah.
210580	213958	She was freaking out the other day with her mess up the piece, too.
215103	218616	Just, I want to leave him outside too.
